cover_image_name,k,t,metric,value
s02,1,370000,ssim,1.0
s02,2,100,ssim,1.0
s02,2,370000,ssim,0.9999
s02,3,100,ssim,1.0
s02,3,370000,ssim,0.9998
s02,4,100,ssim,1.0
s02,4,370000,ssim,0.9994
s02,5,100,ssim,1.0
s02,5,370000,ssim,0.9979
s02,6,100,ssim,1.0
s02,6,370000,ssim,0.9927
s02,7,100,ssim,1.0
s02,7,370000,ssim,0.9738
s02,8,100,ssim,1.0
s02,8,370000,ssim,0.9016
s02,1,16,ssim,1.0
s02,1,32,ssim,1.0
s02,1,64,ssim,1.0
s02,1,128,ssim,1.0
s02,1,256,ssim,1.0
s02,1,512,ssim,1.0
s02,1,1024,ssim,1.0
s02,1,2048,ssim,1.0
s02,1,4096,ssim,1.0
s02,1,8192,ssim,1.0
s02,1,16384,ssim,1.0
s02,1,32768,ssim,1.0
s02,1,65536,ssim,1.0
s02,1,131072,ssim,1.0
s02,1,262144,ssim,1.0
s02,2,16,ssim,1.0
s02,2,32,ssim,1.0
s02,2,64,ssim,1.0
s02,2,128,ssim,1.0
s02,2,256,ssim,1.0
s02,2,512,ssim,1.0
s02,2,1024,ssim,1.0
s02,2,2048,ssim,1.0
s02,2,4096,ssim,1.0
s02,2,8192,ssim,1.0
s02,2,16384,ssim,1.0
s02,2,32768,ssim,1.0
s02,2,65536,ssim,1.0
s02,2,131072,ssim,1.0
s02,2,262144,ssim,1.0
